City,State,URL,Orthodontist,Oral Surgeon,Periodontist,Endodontist,Pedodontist,Dental Specialist,Dental Anesthesiologist,Prosthodontist
galveston,texas,https://galveston.craigslist.org,https://galveston.craigslist.org/search/jjj?query=Orthodontist,https://galveston.craigslist.org/search/jjj?query=Oral+Surgeon,https://galveston.craigslist.org/search/jjj?query=Periodontist,https://galveston.craigslist.org/search/jjj?query=Endodontist,https://galveston.craigslist.org/search/jjj?query=Pedodontist,https://galveston.craigslist.org/search/jjj?query=Dental+Specialist,https://galveston.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://galveston.craigslist.org/search/jjj?query=Prosthodontist
houston,texas,https://houston.craigslist.org,https://houston.craigslist.org/search/jjj?query=Orthodontist,https://houston.craigslist.org/search/jjj?query=Oral+Surgeon,https://houston.craigslist.org/search/jjj?query=Periodontist,https://houston.craigslist.org/search/jjj?query=Endodontist,https://houston.craigslist.org/search/jjj?query=Pedodontist,https://houston.craigslist.org/search/jjj?query=Dental+Specialist,https://houston.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://houston.craigslist.org/search/jjj?query=Prosthodontist
killeen / temple / ft hood,texas,https://killeen.craigslist.org,https://killeen.craigslist.org/search/jjj?query=Orthodontist,https://killeen.craigslist.org/search/jjj?query=Oral+Surgeon,https://killeen.craigslist.org/search/jjj?query=Periodontist,https://killeen.craigslist.org/search/jjj?query=Endodontist,https://killeen.craigslist.org/search/jjj?query=Pedodontist,https://killeen.craigslist.org/search/jjj?query=Dental+Specialist,https://killeen.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://killeen.craigslist.org/search/jjj?query=Prosthodontist
laredo,texas,https://laredo.craigslist.org,https://laredo.craigslist.org/search/jjj?query=Orthodontist,https://laredo.craigslist.org/search/jjj?query=Oral+Surgeon,https://laredo.craigslist.org/search/jjj?query=Periodontist,https://laredo.craigslist.org/search/jjj?query=Endodontist,https://laredo.craigslist.org/search/jjj?query=Pedodontist,https://laredo.craigslist.org/search/jjj?query=Dental+Specialist,https://laredo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://laredo.craigslist.org/search/jjj?query=Prosthodontist
lubbock,texas,https://lubbock.craigslist.org,https://lubbock.craigslist.org/search/jjj?query=Orthodontist,https://lubbock.craigslist.org/search/jjj?query=Oral+Surgeon,https://lubbock.craigslist.org/search/jjj?query=Periodontist,https://lubbock.craigslist.org/search/jjj?query=Endodontist,https://lubbock.craigslist.org/search/jjj?query=Pedodontist,https://lubbock.craigslist.org/search/jjj?query=Dental+Specialist,https://lubbock.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://lubbock.craigslist.org/search/jjj?query=Prosthodontist
mcallen / edinburg,texas,https://mcallen.craigslist.org,https://mcallen.craigslist.org/search/jjj?query=Orthodontist,https://mcallen.craigslist.org/search/jjj?query=Oral+Surgeon,https://mcallen.craigslist.org/search/jjj?query=Periodontist,https://mcallen.craigslist.org/search/jjj?query=Endodontist,https://mcallen.craigslist.org/search/jjj?query=Pedodontist,https://mcallen.craigslist.org/search/jjj?query=Dental+Specialist,https://mcallen.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://mcallen.craigslist.org/search/jjj?query=Prosthodontist
odessa / midland,texas,https://odessa.craigslist.org,https://odessa.craigslist.org/search/jjj?query=Orthodontist,https://odessa.craigslist.org/search/jjj?query=Oral+Surgeon,https://odessa.craigslist.org/search/jjj?query=Periodontist,https://odessa.craigslist.org/search/jjj?query=Endodontist,https://odessa.craigslist.org/search/jjj?query=Pedodontist,https://odessa.craigslist.org/search/jjj?query=Dental+Specialist,https://odessa.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://odessa.craigslist.org/search/jjj?query=Prosthodontist
san angelo,texas,https://sanangelo.craigslist.org,https://sanangelo.craigslist.org/search/jjj?query=Orthodontist,https://sanangelo.craigslist.org/search/jjj?query=Oral+Surgeon,https://sanangelo.craigslist.org/search/jjj?query=Periodontist,https://sanangelo.craigslist.org/search/jjj?query=Endodontist,https://sanangelo.craigslist.org/search/jjj?query=Pedodontist,https://sanangelo.craigslist.org/search/jjj?query=Dental+Specialist,https://sanangelo.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://sanangelo.craigslist.org/search/jjj?query=Prosthodontist
san antonio,texas,https://sanantonio.craigslist.org,https://sanantonio.craigslist.org/search/jjj?query=Orthodontist,https://sanantonio.craigslist.org/search/jjj?query=Oral+Surgeon,https://sanantonio.craigslist.org/search/jjj?query=Periodontist,https://sanantonio.craigslist.org/search/jjj?query=Endodontist,https://sanantonio.craigslist.org/search/jjj?query=Pedodontist,https://sanantonio.craigslist.org/search/jjj?query=Dental+Specialist,https://sanantonio.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://sanantonio.craigslist.org/search/jjj?query=Prosthodontist
san marcos,texas,https://sanmarcos.craigslist.org,https://sanmarcos.craigslist.org/search/jjj?query=Orthodontist,https://sanmarcos.craigslist.org/search/jjj?query=Oral+Surgeon,https://sanmarcos.craigslist.org/search/jjj?query=Periodontist,https://sanmarcos.craigslist.org/search/jjj?query=Endodontist,https://sanmarcos.craigslist.org/search/jjj?query=Pedodontist,https://sanmarcos.craigslist.org/search/jjj?query=Dental+Specialist,https://sanmarcos.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://sanmarcos.craigslist.org/search/jjj?query=Prosthodontist
southwest TX,texas,https://bigbend.craigslist.org,https://bigbend.craigslist.org/search/jjj?query=Orthodontist,https://bigbend.craigslist.org/search/jjj?query=Oral+Surgeon,https://bigbend.craigslist.org/search/jjj?query=Periodontist,https://bigbend.craigslist.org/search/jjj?query=Endodontist,https://bigbend.craigslist.org/search/jjj?query=Pedodontist,https://bigbend.craigslist.org/search/jjj?query=Dental+Specialist,https://bigbend.craigslist.org/search/jjj?query=Dental+Anesthesiologist,https://bigbend.craigslist.org/search/jjj?query=Prosthodontist
